epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,278.871,0.56173,0.77632,0.72431,0.91552,0.88015,0.75138,0.83534,0.70965,0.84876,0.71779,0.78156,0.60288,0.49194,0.76414,0.58667,0.88041,0.000431256,0.000431256,0.000431256
42,285.949,0.54362,0.73323,0.63699,0.88936,0.87254,0.80063,0.84334,0.71534,0.83504,0.7567,0.78641,0.61898,0.50562,0.68472,0.52588,0.88311,0.000424187,0.000424187,0.000424187
43,293.021,0.56013,0.67607,0.68815,0.90837,0.90419,0.79063,0.84491,0.73851,0.86067,0.74385,0.77084,0.59784,0.45939,0.75182,0.51006,0.88176,0.000417119,0.000417119,0.000417119
44,300.185,0.48481,0.63993,0.58244,0.8793,0.91096,0.9325,0.96646,0.7749,0.87153,0.89316,0.91789,0.67247,0.46216,0.63557,0.46694,0.86758,0.00041005,0.00041005,0.00041005
45,307.411,0.51893,0.71069,0.61289,0.88614,0.87597,0.95133,0.96873,0.78268,0.90822,0.8008,0.82766,0.64536,0.44457,0.65036,0.43558,0.86348,0.000402982,0.000402982,0.000402982
46,313.511,0.50816,0.75363,0.60453,0.89995,0.86549,0.95428,0.9716,0.78828,0.89986,0.81173,0.82631,0.6333,0.43875,0.62526,0.42537,0.86245,0.000395913,0.000395913,0.000395913
47,319.659,0.50823,0.75583,0.55475,0.88246,0.81795,0.84444,0.88915,0.78029,0.85973,0.91043,0.92528,0.64486,0.45416,0.57158,0.41376,0.86714,0.000388844,0.000388844,0.000388844
48,325.76,0.5253,0.65165,0.61736,0.88465,0.91799,0.84225,0.91917,0.78138,0.88825,0.80778,0.86845,0.64334,0.44297,0.60154,0.4225,0.87238,0.000381776,0.000381776,0.000381776
49,331.851,0.49083,0.64803,0.53791,0.88602,0.77721,0.97995,0.97562,0.79845,0.75245,0.94495,0.92856,0.67636,0.46202,0.54297,0.41108,0.86728,0.000374707,0.000374707,0.000374707
50,338.967,0.49114,0.65362,0.558,0.88232,0.78828,0.97785,0.97383,0.80854,0.76474,0.94952,0.93741,0.68659,0.45401,0.53343,0.3979,0.86196,0.000367639,0.000367639,0.000367639
51,346.054,0.50633,0.72906,0.56693,0.88775,0.80668,0.97568,0.96365,0.80759,0.78755,0.94901,0.93715,0.7009,0.436,0.53496,0.3897,0.85809,0.00036057,0.00036057,0.00036057
52,353.201,0.48843,0.61002,0.52004,0.87894,0.93128,0.9618,0.97579,0.81125,0.89907,0.92648,0.93158,0.67034,0.42889,0.58247,0.37827,0.85269,0.000353501,0.000353501,0.000353501
53,359.337,0.46246,0.58692,0.51579,0.88316,0.84132,0.97727,0.97431,0.7971,0.8112,0.93888,0.92066,0.66315,0.43127,0.54996,0.3909,0.85728,0.000346433,0.000346433,0.000346433
54,365.405,0.47827,0.61811,0.49945,0.87392,0.92109,0.94364,0.96901,0.81035,0.9036,0.92755,0.93087,0.69228,0.43841,0.53431,0.39361,0.85309,0.000339364,0.000339364,0.000339364
55,371.46,0.47095,0.59735,0.4902,0.87274,0.91391,0.93394,0.9736,0.82243,0.88143,0.91659,0.93104,0.69976,0.4385,0.54304,0.39313,0.84935,0.000332296,0.000332296,0.000332296
56,378.814,0.47073,0.63054,0.51407,0.88734,0.90181,0.95745,0.92697,0.82555,0.89224,0.93041,0.94617,0.67051,0.4015,0.52892,0.36859,0.84533,0.000325227,0.000325227,0.000325227
57,384.999,0.48379,0.64854,0.53923,0.87292,0.84463,0.87081,0.89991,0.81358,0.83487,0.84517,0.86909,0.65944,0.40339,0.52346,0.38588,0.84955,0.000318158,0.000318158,0.000318158
58,391.155,0.45191,0.67051,0.48837,0.85847,0.83637,0.86532,0.897,0.80433,0.81133,0.82857,0.85804,0.65615,0.4082,0.5438,0.39209,0.84943,0.00031109,0.00031109,0.00031109
59,397.267,0.49838,0.66555,0.55885,0.89553,0.82739,0.8577,0.8926,0.80216,0.80921,0.82391,0.85856,0.66354,0.40828,0.53873,0.39789,0.85185,0.000304021,0.000304021,0.000304021
60,403.445,0.45275,0.61941,0.50895,0.85444,0.96492,0.86028,0.9063,0.80738,0.89299,0.9444,0.94242,0.70151,0.39895,0.52022,0.37264,0.84765,0.000296953,0.000296953,0.000296953
61,409.568,0.44878,0.59942,0.47554,0.85241,0.92076,0.96645,0.98007,0.84343,0.90051,0.94139,0.94325,0.73359,0.36931,0.51723,0.36188,0.83806,0.000289884,0.000289884,0.000289884
62,416.718,0.42899,0.60593,0.44832,0.87517,0.88528,0.97611,0.98215,0.84826,0.8663,0.94772,0.94837,0.735,0.35974,0.50445,0.35445,0.82996,0.000282815,0.000282815,0.000282815
63,424.074,0.48469,0.6866,0.53947,0.88934,0.88753,0.98079,0.98414,0.86529,0.86714,0.9524,0.95297,0.74389,0.36935,0.50733,0.34465,0.83104,0.000275747,0.000275747,0.000275747
64,431.618,0.43699,0.53902,0.44633,0.83877,0.82168,0.98306,0.98414,0.85256,0.79799,0.95128,0.95113,0.74428,0.37055,0.46698,0.33999,0.83145,0.000268678,0.000268678,0.000268678
65,437.852,0.44729,0.62814,0.45275,0.86218,0.95956,0.85394,0.98278,0.85511,0.94538,0.83215,0.95803,0.76042,0.3644,0.47644,0.34155,0.82834,0.00026161,0.00026161,0.00026161
66,445.203,0.44914,0.60049,0.45233,0.86427,0.95246,0.86443,0.91565,0.82397,0.94455,0.83456,0.89137,0.69781,0.36195,0.47996,0.34185,0.82675,0.000254541,0.000254541,0.000254541
67,451.514,0.4498,0.67385,0.4701,0.89267,0.95813,0.86212,0.89447,0.81971,0.93838,0.84062,0.86725,0.68795,0.35892,0.49213,0.33562,0.82757,0.000247472,0.000247472,0.000247472
68,457.889,0.43564,0.61405,0.45323,0.85256,0.96188,0.87312,0.88456,0.81737,0.95564,0.8492,0.87651,0.68261,0.36099,0.47803,0.31994,0.82822,0.000240404,0.000240404,0.000240404
69,464.176,0.46924,0.64813,0.49766,0.86724,0.9652,0.86643,0.88585,0.82182,0.95196,0.85239,0.88183,0.69288,0.35949,0.46531,0.32347,0.826,0.000233335,0.000233335,0.000233335
